tissue,name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Liver,(2R)-1-(Octanoyloxy)-3-(phosphonooxy)-2-propanyl palmitate,0.023722631329327185,-0.0018640504055001024,0.026406299064233387,0.014707990536426806,-0.015781024669741257,-0.03655104040501568,0.02881420359462392,0.06364833377242185,-0.03873398424406102,-0.023632865068680026,-0.03997561849911299,-0.009006629822424273,0.00927578732926527,0.007037061574442972,-0.043159443014191126,0.016298443723211306,0.1811599421393877
Liver,"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(palmitoyloxy)-2-propanyl (9Z)-9-hexadecenoate",-0.04037723116721114,0.012959007492531234,-0.012124394673939809,-0.01921826433486416,-0.003666037233384347,-1.9278702282249694e-4,-0.0012028825612816231,-0.04234018722713213,0.01866140861344,0.0038447945334609216,-0.01939142095740261,-0.056273677524303616,-0.0010671325489920232,-0.055394197701022455,-0.005076080779424958,0.021729387301690203,0.019838728514667392
Liver,"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(stearoyloxy)-2-propanyl (5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoate",0.04252326901946388,0.00579487368144512,-0.011949029796127228,-0.030051921716328475,-0.026904190981716095,-0.03166962077928257,-0.014937383971532554,0.03222013281252731,-0.0038617618229127844,-0.00921227104906531,-0.03140812782884314,0.008340873541453638,-0.005434665731982283,-0.03306175115101301,0.023943962554924692,0.01738444520102718,-0.04483202764309182
Liver,"(2R)-2,3-Dihydroxypropanoic acid",0.019076487407669714,0.012599401520970334,-0.0014076461296260244,0.01552367606146367,0.07517829699474475,-0.007106202507017889,0.0025190020021688413,0.03602615801452236,0.029264974771292824,0.019177429260404038,-0.031700570997689276,0.0250473074587813,0.042410333897625226,-9.964681037481662e-5,0.002542707019222682,0.006095707035333179,-0.0525869565529155
Liver,"(2R)-2-Hydroxy-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]propyl palmitate",0.03441620203210962,-0.016389411205763673,0.012132179626972215,-0.038037522878622027,0.036519258162419334,-0.032743623007065674,-0.032023984349166784,-0.020523033331512088,0.016261789137715216,-0.0020320563146922718,-0.01026323342400354,0.02103089217413967,0.04262551482261929,-0.015467354848997203,0.0025412916003914737,-0.009534111017670127,0.023687521562701
Liver,"(2R)-3-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-1,2-propanediyl dihexadecanoate",0.027185104175819055,0.004884555278738978,0.022897531828813468,-0.04150544906509831,0.042050510986805505,0.0033788520998219358,-0.008033663945957364,0.004505720168163933,-0.02336646430793068,-0.01929553645494817,-0.030589147586873793,-0.017611593078307095,-0.03518261031378002,0.06370116588270643,0.008355731228559614,-0.021830035148737516,0.0062296378471428165
Liver,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",-0.020489490225468705,0.013270275071958946,0.010722921660098538,0.06710966109608263,-0.020366394472193055,-0.01856869756948749,0.04130240276855742,-0.033511043460238366,0.0036650676486117756,-0.004763708242014492,0.005353279874933925,0.022025362307514146,-0.028961781434495463,0.012284643570322943,-0.021200428462540527,-0.015543788066552999,0.0012363330141964082
Liver,"(2S)-1-Hydroxy-3-[(9Z)-9-tetradecenoyloxy]-2-propanyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",-0.013885899876878743,-0.017280807892187236,0.009585788912227777,0.004517994041800895,-0.008278223412835337,-0.017487838420230644,0.010265233089968021,0.02802739969576069,-0.05100725782754658,-0.027513604646028842,0.044248226600179484,-0.014243075874907524,0.00840777591510294,-0.03581118126376928,0.076369728245855,0.08075238013296417,0.005324084372576516
Liver,"(2S)-3-Hydroxy-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)butanoic acid (non-preferred name)",0.03972809299690872,0.0028011838363074548,-0.03995140950671349,0.014004885745395046,0.04479048854769041,0.01971077511381339,0.015629455721781732,-0.009188880688584871,-0.0149751992008639,9.053006047980681e-4,-0.012114699351393435,-0.009241743732063996,0.010881042600197696,-0.008854840479332693,0.016871362775923847,-0.022027703957306206,-7.389276246379554e-4
Liver,"(2S,3R,5S)-3-(2-Aminoethyl)-7-oxo-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",-0.02000675664529805,-0.049771821011993476,-0.02437957506682449,-0.01950073149683957,-0.034061775445444045,-0.020796065087762935,0.017921395957739852,0.0035891659872560435,0.03322116990594873,-0.04035766131262119,-0.008842890008516147,-0.0019312951011762243,0.007093762075732273,0.006513009586464044,0.011477045861732397,0.016276934685437575,0.008903516459240953
