tissue,name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
Liver,"(6Z,9Z,12Z,15Z)-6,9,12,15-Octadecatetraenal",0.03913353483695863,0.02823301873759976,0.03954422048346743,0.0023297059450741535,-0.007348744228398197,-0.016320785122743386,0.002016870051741102,-0.005297011854106575,0.0034434302117766586,-0.03294828674039055,-0.011409223452050676,0.04692147154923002,0.0026646908156066755,0.02248036182902661,-0.02907170411725495,0.0027133954521739783,0.004333088243013705,0.030226281347134603,0.007725723268481625,0.004004998869452735,-0.03649666535208219,-0.02545196122731082
Liver,"(6Z,9Z,12Z,15Z,23R,29S)-26,29,30-Trihydroxy-26-oxido-20-oxo-21,25,27-trioxa-26λ~5~-phosphatriaconta-6,9,12,15-tetraen-23-yl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",-0.014747045876361794,-0.041552882082138566,0.05066652440717436,-0.008659146946638248,0.04687076264410981,-0.020012069808541397,0.0054778460729290575,0.0010500251981045243,-0.03137088975271419,-0.021225814711301125,-0.016985861528784753,-0.0011409704077277592,-0.01864732001696511,0.013266283439559087,0.011726561659086912,-0.019054242418714194,0.007514606077803119,-0.0024095697008628012,-0.008758865050706584,0.0064467840975377865,-0.009471268402367677,-0.010256110284760858
Liver,"(7Z,10Z)-Hexadecadienoylcarnitine",-0.01936521489232142,0.03241338330631809,0.0021712802369279376,-0.0067616908743166814,-0.03307319024919958,0.013409092043688845,-0.005411926894450715,-0.03160223811721733,-0.014641942908436891,-0.005451973552232148,-0.012739319544028044,-0.03851642410890746,0.004227929805014909,0.0243038644986979,-0.01302195953603543,0.004189801977312594,-0.06797446244740465,-0.007214677747831147,0.014050516847977625,-7.748156954634932e-4,-0.1190017273396954,0.013932951253114249
Liver,"(8E,15Z)-1,8,15-Heptadecatriene-11,13-diyne",0.03326568077397098,0.012901923094204007,0.010812461349131743,0.021712846727575306,-0.0057927845565187135,-0.014077662024633106,0.03893457619564315,0.011641031999024314,-0.033972734360261186,-0.02587974427356585,0.030793667254981085,0.03532844607012442,0.034800078553655404,-0.027462822340705913,-0.051548306544841854,0.007260433033284492,0.033777333833893634,-0.06300913756026381,0.003867646043712238,-0.028500272624354357,-0.001842414357689252,-0.0014045540439261617
Liver,"(8Z,10E)-Dodeca-8,10-dienoylcarnitine",-0.007753843534462986,0.03939338480838049,0.009644471932258142,-0.05092439986742634,-0.009341175086990765,0.017825780199985222,0.022152416736065765,0.02581324357452632,-0.01781852021969532,0.0026215251831404143,0.008067324237867723,0.008541049140576747,0.04621261554995365,-0.024279140025192655,0.03173180622090218,0.014417068349393002,-0.06322025166902967,-0.015059928450505258,-0.030140196748326478,-0.019254055382580227,-0.02184978652439117,-0.006390376677898713
Liver,(9Z)-9-Octadecenamide,-0.03150740467217328,0.04242095236368036,-1.8916846397285786e-4,-0.027843014698507196,0.03525452136308786,0.0053503518077220045,0.014477948074348247,0.01055293141605904,-0.03131918314883253,-0.006273257598073622,-0.004428701560015712,0.02524349044732635,0.037876390324889146,-0.012576862516019709,0.012103283807710835,0.0026757952166159902,0.02437173266487542,-0.014528006779723646,-0.03827857537866844,-0.008980915186825512,-0.007825259929572512,-0.015161754236354337
Liver,(E)-3-O-Methyl entacapone,0.03641816782349779,-0.010506630782022871,-0.034354228212083705,0.017554269474845115,0.016307684723178062,0.030777424336206262,0.03844667968953207,-0.023955602943659796,0.03400181187220856,0.023511975733363073,-0.0067918575985992,4.8395528128474327e-4,-0.0011275592132393897,-5.869436378925294e-4,0.026931265317345923,-0.038743760539127314,0.037745863323282225,-0.027052261612956114,-0.03473369348031302,-0.0015561545886106456,-0.01532455431109463,-0.017720600539971067
Liver,(E)-p-coumaric acid,0.019522246435526133,-0.01988197483425134,0.05361188762216166,0.03229485214666676,0.005900495028984631,0.009276056038852235,-0.009415369773614613,0.023403421474311372,-0.04459693358230121,-0.04780336616639174,-0.026183934592382538,-0.029703458568795447,-0.017994047465841715,-0.01901743091676437,0.029622507053752405,-0.014402599104494752,-0.013259772641880113,0.025399508205820834,-0.009185650096788171,0.0015625427141462114,0.013454283750710732,-0.028624831317089903
Liver,"(E,E)-2,4-Dodecadienal",0.039778986089663695,0.025089501251490245,0.024040677643243757,-0.021311380994705687,0.011121880396538058,9.001659931007917e-4,0.0011558255083708563,-0.025021371729225157,0.024665351580499695,-0.021029638566615935,0.016407130185192915,0.00418824021842718,-0.03145621175320227,0.02237360819780152,-0.023744649956551567,0.004599338183928617,-0.007742471133348761,0.052744182112972424,-0.015011870456283013,0.017746958690607575,-0.06228349123337429,0.0072235000696252005
Liver,(Methylthio)pyrazine,-0.02774890296379524,0.016749109595487345,-0.010172422930016956,0.05432038821635015,-0.026413944112766236,-0.004289036656321293,-0.04869370716512792,-0.042501678356267676,-0.024284903191949734,0.010404871795851315,0.02096260418628372,-0.012022749004425784,0.002385039502368748,-0.02325596542430249,-0.014576532979683242,-0.015769528054339677,-0.02452743302329469,0.004327888508102355,-0.005426865688765077,-0.007588160678831662,0.02931653659097593,0.007209330133950573
Liver,(R)-2-Benzylsuccinate,0.003782592549921095,0.02655701859074667,-0.022213125323728267,0.0032130121814439817,0.006452102834132473,-0.027047192904101267,0.011004293950137828,-0.04961095625598652,0.008342079097261522,0.007091823006164172,-0.03590367522420641,-0.019806008802718197,0.06433051415713832,0.046106828515032366,-0.03413848914065247,0.035925571318623194,0.08153559403959282,0.02798284474485325,0.02539674601803611,0.019756276314932524,0.0014776875806256876,0.015283996797985583
Liver,(R)-Lipoic acid,0.0016219878838370655,0.03213957041617165,-0.02502258641303352,0.022567977180989587,-0.004069171307335635,-0.021405301591734944,0.08312495668964387,-0.005139976110036717,0.031246076154919204,0.006441981182486984,-0.007523203393339516,-5.902396770024132e-4,-0.016203969112242898,-0.003435063930540971,0.04154912608912777,0.02337804917287929,-0.024298020930145586,0.031575331925658895,-0.030843945605441826,0.018746771003713702,-0.005990138439271356,0.014699645302203449
Liver,(S)-Succinyldihydrolipoamide,-0.03238357320109473,-0.014256522081162862,-0.022694954668853958,0.02594439626089606,-0.02394227825560539,-0.01621186618024151,-0.03414715222575593,-0.024631457572940975,0.04700511988311106,-0.017231311766364697,-0.0023180046607895305,0.03197327835227009,-0.038336992195598364,0.008379700540944272,0.02501688816654007,-0.02851237787760685,-0.04150894422504426,0.02146719565773435,-0.026527615739013855,-0.04075023879519393,-0.0121203210017883,-0.0028927679055359566
