"contrast","direction","gene.id","baseMean","log2FoldChange","pvalue","padj"
"young CD vs old CD","Downregulated","2010016I18Rik",10.5827467825192,-1.87857354439744,0.00575610234365961,0.0268646646915441
"young CD vs old CD","Downregulated","H2-T22",612.915920654442,-0.35162036869207,0.00575782827237787,0.0268646646915441
"young CD vs old CD","Downregulated","Klra2",7.33073087369579,-1.71066312022992,0.00582132202009056,0.0271104659251094
"young CD vs old CD","Downregulated","Gm10638",35.4249102061233,-0.943735766511232,0.00651989459877522,0.0296620043025327
"young CD vs old CD","Downregulated","Clca3",31.2345811441137,-4.26228599027746,0.00709556926531336,0.0315043275379913
"young CD vs old CD","Downregulated","D17Wsu104e",275.646938954216,-0.32809833078408,0.00750670558606904,0.0327874244281471
"young CD vs old CD","Downregulated","Igkv3-5",22.217027918098,-8.00041537332569,0.00757864446376336,0.0330527409803659
"young CD vs old CD","Downregulated","Zfp874b",393.296341343783,-0.360024060309645,0.00777864537751906,0.0337806226508813
"young CD vs old CD","Downregulated","2410015M20Rik",750.547409583833,-0.47639959301297,0.00792639996496967,0.0341656766957218
"young CD vs old CD","Downregulated","Gm15501",27.0165671762426,-0.694187349655939,0.00799154813081076,0.0344163433649823
"young CD vs old CD","Downregulated","Emr4",18.9930995936554,-1.27299546333957,0.00823291335988079,0.0352399245960916
"young CD vs old CD","Downregulated","4930500J02Rik",23.7913365948598,-0.843327555727519,0.00851975775727438,0.0361221090668127
"young CD vs old CD","Downregulated","F630028O10Rik",19.0349340646593,-0.802040952411458,0.00880453064014241,0.037052818084499
"young CD vs old CD","Downregulated","Ttc25",24.3650566738773,-1.26654629782714,0.00903919756853177,0.0378140191851047
"young CD vs old CD","Downregulated","9130208D14Rik",18.1870411246916,-2.44864507832668,0.00907662954287852,0.0379276201362909
"young CD vs old CD","Downregulated","2310045N01Rik",93.3244898154957,-0.39889372495126,0.0092344870791794,0.0384241073139587
"young CD vs old CD","Downregulated","Twistnb",582.427258089169,-0.230524923300223,0.00932900628403879,0.0387518626255669
"young CD vs old CD","Downregulated","Ctla2a",176.794641949272,-0.689547359318657,0.00959782743812841,0.0395568750611641
"young CD vs old CD","Downregulated","Apon",28.0584926858046,-6.28300353562087,0.0096039433118247,0.0395641691203164
"young CD vs old CD","Downregulated","Znrd1",170.959092198565,-0.388902947682988,0.00971356579606618,0.0399113197459852
"young CD vs old CD","Downregulated","2310015B20Rik",808.069337166849,-0.389623453125367,0.00973440483328579,0.0399458487293471
"young CD vs old CD","Downregulated","1810011H11Rik",4.79164011637535,-1.77386866361222,0.00983109282738619,0.0402194661701594
"young CD vs old CD","Downregulated","Gm21975",7.26742248795014,-1.38863648138599,0.00991146349956306,0.0404693039811839
"young CD vs old CD","Downregulated","Gm6377",5.95531472143068,-1.88575412076369,0.00999302431406234,0.0406858847072538
"young CD vs old CD","Downregulated","BC017643",142.517600218137,-0.308487232690274,0.0101042050207737,0.0410316971898758
"young CD vs old CD","Downregulated","Bre",574.72739577211,-0.238794186113691,0.0101077944338392,0.0410316971898758
"young CD vs old CD","Downregulated","9530026P05Rik",42.9167292898996,-0.499634043099811,0.0104128748853356,0.0418300059679481
"young CD vs old CD","Downregulated","Gm6563",122.438881064319,-0.399385939307631,0.0105682109251043,0.0422928972315844
"young CD vs old CD","Downregulated","Fam129b",241.215802563695,-0.409208887649359,0.0106241351838243,0.0424342235782174
"young CD vs old CD","Downregulated","Ccrn4l",534.104360756031,-0.457729477750871,0.0107131570791423,0.0426878105153515
"young CD vs old CD","Downregulated","N6amt2",424.002927436869,-0.392080180416548,0.0107501347416948,0.0427774229627062
