"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"Cbx6",1.86440934849096,1.40452005127669,1.86440934849096,1.63446469988382
"Acot9",1.86432697115743,1.45743292294253,1.86432697115743,1.66087994704998
"Etv5",1.86416622421378,1.61037250016229,1.86416622421378,1.73726936218804
"Usp42",1.86396837753075,1.58536370612224,1.86396837753075,1.7246660418265
"Serpinb1a",1.86388212053787,1.41164540782243,1.86388212053787,1.63776376418015
"Fam19a3",1.86369516914161,1.43746802377388,1.86369516914161,1.65058159645774
"Taf3",1.86343948283818,1.40570755731315,1.86343948283818,1.63457352007567
"Mettl7a3",1.36431327134239,1.86329155832444,1.86329155832444,1.61380241483341
"Vps35",1.86323531898487,1.42248189242713,1.86323531898487,1.642858605706
"Pde4a",1.86277332452368,1.40442753602377,1.86277332452368,1.63360043027373
"Lgals1",1.86259820726302,1.46376440226136,1.86259820726302,1.66318130476219
"Ak3",1.86259142368082,1.42959895915127,1.86259142368082,1.64609519141604
"Dnmt3a",1.86160251672486,1.40183868165565,1.86160251672486,1.63172059919026
"5031439G07Rik",1.86140717719489,1.43882688724954,1.86140717719489,1.65011703222221
"Rhoc",1.86095931013208,1.48179274832534,1.86095931013208,1.67137602922871
"Gabrr1",1.86067720548128,1.41480162565577,1.86067720548128,1.63773941556852
"Cx3cl1",1.86047092461702,1.45747578405931,1.86047092461702,1.65897335433817
"Jph2",1.86013672906182,1.40885385331861,1.86013672906182,1.63449529119022
"Ppfibp1",1.85975801526888,1.39899239162299,1.85975801526888,1.62937520344594
"Pira2",0.839192132339458,1.85914689134683,1.85914689134683,1.34916951184314
"Sat1",1.8590818025377,1.43244465956923,1.8590818025377,1.64576323105347
"Ctnna3",1.85903972571878,1.39978850945503,1.85903972571878,1.6294141175869
"Pick1",1.85892600568885,1.39859900374089,1.85892600568885,1.62876250471487
"Cwf19l2",1.85889263006613,1.47601821427409,1.85889263006613,1.66745542217011
"Otud7b",1.85860321185621,1.45717111239856,1.85860321185621,1.65788716212738
"Zfp11",0.769098885309315,1.85832552930284,1.85832552930284,1.31371220730608
"Rps12-ps3",0.511734667204657,1.8581640493017,1.8581640493017,1.18494935825318
