metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,Resistin,43,5,3M4;3M40;4M1;4M4;5M10,3M4;3M40;4M1;4M4;5M10,
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,Secretin,43,6,3M4;3M34;3M40;4M1;4M4;5M10,3M4;3M40;4M1;4M4;5M10,3M34;3M40
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,Amylin,43,6,2M20;3M4;3M6;3M26;3M37;5M10,,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,C-Peptide 2,43,3,3M14;5M2;5M10,,3M14;5M2;5M10
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,GIP,42,2,3M7;3M38,,3M7;3M38
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,GLP-1,43,1,3M6,,3M6
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,Ghrelin,2,0,,,
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,Glucagon,43,5,3M14;3M15;3M37;4M3;5M10,,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,Insulin,43,6,3M6;3M14;3M21;3M37;5M2;5M10,,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,Leptin,43,1,3M6,,3M6
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,PP,13,2,3M4;3M6,,3M4;3M6
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,PYY,43,1,3M38,,3M38
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,Resistin,43,0,,,
pv,SAC,CD,nega,(S)-Succinyldihydrolipoamide,C12H21NO4S2,306.0841,12.715,Secretin,43,2,3M34;3M40,,3M34;3M40
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,Amylin,43,9,2M20;2M22;2M26;3M4;3M6;3M11;3M26;3M37;5M10,2M22;2M26;3M11,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,C-Peptide 2,43,6,2M22;2M26;3M11;3M14;5M2;5M10,2M22;2M26;3M11,3M14;5M2;5M10
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,GIP,42,4,2M26;3M7;3M11;3M38,2M26;3M11,3M7;3M38
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,GLP-1,43,4,2M22;2M26;3M6;3M11,2M22;2M26;3M11,3M6
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,Ghrelin,2,0,,,
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,Glucagon,43,8,2M22;2M26;3M11;3M14;3M15;3M37;4M3;5M10,2M22;2M26;3M11,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,Insulin,43,9,2M22;2M26;3M6;3M11;3M14;3M21;3M37;5M2;5M10,2M22;2M26;3M11,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,Leptin,43,4,2M22;2M26;3M6;3M11,2M22;2M26;3M11,3M6
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,PP,13,2,3M4;3M6,,3M4;3M6
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,PYY,43,4,2M22;2M26;3M11;3M38,2M22;2M26;3M11,3M38
pv,SAC,CD,nega,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,149.02771,3.773,Resistin,43,3,2M22;2M26;3M11,2M22;2M26;3M11,
