correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_med_adj_ic,n_raw_ion_count_fallback,n_cd,n_id,n_young,n_old,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,sys_sac,SAC,CD,posi,"(2S)-4-Methyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)pentanoic acid (non-preferred name)",C12H23NO7,294.15457,8.122,Resistin,36,36,38,2,2M20;3M37,2M20;3M37,,36,0,20,16,10,26,-0.37739115884146773,0.023264016981524985,0.4959942730380301,30358.2144780732,1141978.98650024,5122.24,58609.94
pearson,tp4,GTT,CD,posi,1-Phenylethanol,C8H10O,105.06983,2.611,Glucagon,31,31,31,0,,,,0,31,14,17,0,31,-0.4064620523751405,0.023265308532197722,0.4959942730380301,362230.085259766,8295281.81036989,17.67,161.53
pearson,sys_sac,SAC,CD,posi,"1,2-dioleoyl-sn-glycero-3-phospho-(1′-sn-glycerol)",C42H79O10P,775.54458,3.781,PP,8,8,11,3,3M4;3M6;5M2,,3M4;3M6;5M2,8,0,2,6,1,7,0.7770935895476169,0.023266349003463114,0.4959942730380301,11959.9602689884,1943948.0785174,1.13,72.59
pearson,pv,SAC,CD,posi,"PE(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",C45H78NO8P,792.55374,2.975,GIP,35,35,42,7,3M7;3M11;3M16;3M27;3M28;3M38;4M3,3M11;3M16;3M27;3M28;4M3,3M7;3M38,35,0,21,14,13,22,0.38269161293353193,0.023270825164958642,0.4959942730380301,12035.1696420876,3784282.63714528,49,1817.17
pearson,sys_sac,SAC,CD,nega,Vanillic acid 4-O-sulfate,C8H8O7S,246.99176,5.608,Amylin,30,30,38,8,2M20;3M4;3M6;3M11;3M15;3M18;3M26;3M37,3M11;3M15;3M18,2M20;3M4;3M6;3M26;3M37,30,0,17,13,10,20,0.4130420441084444,0.02329489466399069,0.4959942730380301,214872.081968918,1526999.63544762,1.79,12.85
pearson,sys_sac,SAC,CD,posi,7-Hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-carboxylic acid 7-glucoside,C17H18O10,383.0947,12.739,C-Peptide 2,32,32,38,6,2M16;3M11;3M14;3M38;3M40;5M2,2M16;3M11;3M38;3M40,3M14;5M2,32,0,19,13,9,23,0.40003215073978204,0.023295527050752985,0.4959942730380301,7652.09749957831,42269.5829238296,29.61,1415.11
pearson,sys_sac,SAC,CD,posi,"PE(16:0/22:2(13Z,16Z))",C43H82NO8P,772.58463,4.625,GLP-1,31,31,38,7,2M26;3M4;3M6;3M11;3M31;3M40;4M2,2M26;3M4;3M11;3M31;3M40;4M2,3M6,31,0,18,13,9,22,0.4063727663210952,0.02329855283870519,0.4959942730380301,63527.4231573643,1170210.88205764,28.62,366.87
pearson,sys_sac,SAC,CD,posi,"Fructose 1,6-bisphosphate",C6H14O12P2,341.00635,13.956,Leptin,37,37,38,1,3M6,,3M6,37,0,20,17,10,27,-0.37217402813805545,0.023309730887361664,0.4959942730380301,12101.7742448103,91737.1863424195,608.22,7640.21
pearson,pv,SAC,CD,posi,Flurandrenolide,C24H33FO6,437.23565,3.938,Resistin,43,43,43,0,,,,43,0,25,18,14,29,-0.3453610026969223,0.023314395308424763,0.4959942730380301,12706.2926576273,184186.342876286,5122.24,58609.94
pearson,tp4,GTT,CD,nega,Homocysteinesulfinic acid,C4H9NO4S,166.01797,5.031,C-Peptide 2,34,34,34,0,,,,0,34,16,18,0,34,-0.3880725500437279,0.02333548134473057,0.4959942730380301,2824183.23372659,25521851.961854,102.01,1743.56
pearson,tp4,GTT,CD,nega,N-Acetyl-L-alanine,C5H9NO3,130.05103,8.997,Insulin,32,32,35,3,3M26;3M30;3M36,,3M26;3M30;3M36,0,32,14,18,0,32,-0.3999220247214077,0.023337100387119582,0.4959942730380301,295789.96649761,1168619.66775911,123.91,3214.38
