"direction","overlap_group","gene.id"
"Upregulated","Young CD vs old CD only","Arid1a"
"Upregulated","Young CD vs old CD only","Arid1b"
"Upregulated","Young CD vs old CD only","Arid3b"
"Upregulated","Young CD vs old CD only","Arid4a"
"Upregulated","Young CD vs old CD only","Arid5b"
"Upregulated","Young CD vs old CD only","Arl2bp"
"Upregulated","Young CD vs old CD only","Arl3"
"Upregulated","Young CD vs old CD only","Arl5b"
"Upregulated","Young CD vs old CD only","Arl6ip6"
"Upregulated","Young CD vs old CD only","Armcx2"
"Upregulated","Young CD vs old CD only","Armcx4"
"Upregulated","Young CD vs old CD only","Armcx6"
"Upregulated","Young CD vs old CD only","Arnt"
"Upregulated","Young CD vs old CD only","Arnt2"
"Upregulated","Young CD vs old CD only","Arntl"
"Upregulated","Young CD vs old CD only","Arrb1"
"Upregulated","Young CD vs old CD only","Arsi"
"Upregulated","Young CD vs old CD only","Asap3"
"Upregulated","Young CD vs old CD only","Asb12"
"Upregulated","Young CD vs old CD only","Asb16"
"Upregulated","Young CD vs old CD only","Asb18"
"Upregulated","Young CD vs old CD only","Ash1l"
"Upregulated","Young CD vs old CD only","Asxl1"
"Upregulated","Young CD vs old CD only","Atad2b"
"Upregulated","Young CD vs old CD only","Atad3a"
"Upregulated","Young CD vs old CD only","Atcay"
"Upregulated","Young CD vs old CD only","Atcayos"
"Upregulated","Young CD vs old CD only","Atf2"
"Upregulated","Young CD vs old CD only","Atf4"
"Upregulated","Young CD vs old CD only","Atf5"
"Upregulated","Young CD vs old CD only","Atf7"
"Upregulated","Young CD vs old CD only","Atg2a"
"Upregulated","Young CD vs old CD only","Atg2b"
"Upregulated","Young CD vs old CD only","Atg4c"
"Upregulated","Young CD vs old CD only","Atg4d"
"Upregulated","Young CD vs old CD only","Atg9a"
"Upregulated","Young CD vs old CD only","Atmin"
"Upregulated","Young CD vs old CD only","Atn1"
"Upregulated","Young CD vs old CD only","Atp11a"
"Upregulated","Young CD vs old CD only","Atp11b"
"Upregulated","Young CD vs old CD only","Atp13a1"
"Upregulated","Young CD vs old CD only","Atp13a2"
"Upregulated","Young CD vs old CD only","Atp1a2"
"Upregulated","Young CD vs old CD only","Atp1a4"
"Upregulated","Young CD vs old CD only","Atp1b2"
"Upregulated","Young CD vs old CD only","Atp2a1"
"Upregulated","Young CD vs old CD only","Atp2b3"
"Upregulated","Young CD vs old CD only","Atp5sl"
"Upregulated","Young CD vs old CD only","Atp6v0a2"
"Upregulated","Young CD vs old CD only","Atp8a1"
"Upregulated","Young CD vs old CD only","Atp8a2"
"Upregulated","Young CD vs old CD only","Atxn1"
"Upregulated","Young CD vs old CD only","Atxn1l"
"Upregulated","Young CD vs old CD only","Atxn2"
"Upregulated","Young CD vs old CD only","Atxn2l"
"Upregulated","Young CD vs old CD only","Atxn7"
"Upregulated","Young CD vs old CD only","Atxn7l2"
"Upregulated","Young CD vs old CD only","Atxn7l3"
"Upregulated","Young CD vs old CD only","Auh"
"Upregulated","Young CD vs old CD only","Auts2"
"Upregulated","Young CD vs old CD only","Avil"
"Upregulated","Young CD vs old CD only","Axin2"
"Upregulated","Young CD vs old CD only","B230219D22Rik"
"Upregulated","Young CD vs old CD only","B230312C02Rik"
"Upregulated","Young CD vs old CD only","B230319C09Rik"
"Upregulated","Young CD vs old CD only","B3galnt2"
"Upregulated","Young CD vs old CD only","B3gat3"
"Upregulated","Young CD vs old CD only","B3gnt1"
"Upregulated","Young CD vs old CD only","B4galt3"
"Upregulated","Young CD vs old CD only","B4galt5"
