Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
AdultBladder_T cell	Adult	Urinary system	AdultBladder	T cell	T cell	CL:0000084	Bladder organ	UBERON:0018707	0.999756061160069	0.792004377556656	0.729520295202952	0.894730005692091	0.0483079978998096	NA
FetalStomach_Fetal mesenchymal progenitor	Fetal	Digestive system	FetalStomach	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Stomach	UBERON:0000945	0.999788320210129	0.793527700422466	0.731365313653137	0.896137009409623	0.0476255864520428	NA
Madissoon_2020_lung_Alveolar_Type2	Adult	Respiratory system	Madissoon_2020_lung	Alveolar_Type2	Alveolar capillary type 2 endothelial cell	CL:4028003	Lung	UBERON:0002048	0.999545814124021	0.806455359337722	0.719926199261993	0.896261949179983	0.0475650411670041	NA
Madissoon_2020_lung_T_CD8_CytT	Adult	Respiratory system	Madissoon_2020_lung	T_CD8_CytT	T cell	CL:0000084	Lung	UBERON:0002048	0.999545814124021	0.806455359337722	0.719926199261993	0.896261949179983	0.0475650411670041	NA
Madissoon_2020_lung_Plasma_cells	Adult	Respiratory system	Madissoon_2020_lung	Plasma_cells	Plasma cell	CL:0000786	Lung	UBERON:0002048	0.999545814124021	0.806455359337722	0.719926199261993	0.896261949179983	0.0475650411670041	NA
Madissoon_2020_lung_B_cell_mature	Adult	Respiratory system	Madissoon_2020_lung	B_cell_mature	B cell	CL:0000236	Lung	UBERON:0002048	0.999545814124021	0.806455359337722	0.719926199261993	0.896261949179983	0.0475650411670041	NA
Braga_2020_lung_Mast cell	Adult	Respiratory system	Braga_2020_lung	Mast cell	Mast cell	CL:0000097	Lung	UBERON:0002048	0.999835396176728	0.787105041853103	0.738007380073801	0.89642552238719	0.0474857870386621	NA
van_Zyl_eye_2020_BeamCellb	Adult	Sensory system	van_Zyl_eye_2020	BeamCellb	Beam B cell	NA	Eye	UBERON:0000970	0.999635531430056	0.803491055382632	0.723247232472325	0.896552231352886	0.0474244042305528	NA
AdultRectum_Epithelial cell	Adult	Digestive system	AdultRectum	Epithelial cell	Epithelial cell	CL:0000066	Rectum	UBERON:0001052	0.999875478008572	0.782740927696997	0.743911439114391	0.897184634282494	0.0471181730109023	NA
FetalSpinalCord_CB CD34+	Fetal	Nervous system	FetalSpinalCord	CB CD34+	Hematopoietic stem cell	CL:0000037	Spinal cord	UBERON:0002240	0.999836648880163	0.789822320478603	0.738745387453875	0.897825698083217	0.0468079681301629	NA
AdultDuodenum_Goblet cell	Adult	Digestive system	AdultDuodenum	Goblet cell	Goblet cell	CL:0000160	Duodenum	UBERON:0002114	0.999895315546501	0.780517699730679	0.74760147601476	0.897846486176819	0.0467979126707977	NA
AdultTrachea_Stratified epithelial cell	Adult	Respiratory system	AdultTrachea	Stratified epithelial cell	Epithelial cell	CL:0000066	Trachea	UBERON:0003126	0.999805620438028	0.795545073947458	0.734317343173432	0.898205063080408	0.0466245011975021	NA
AdultEsophagus_B cell (Plasmocyte)	Adult	Digestive system	AdultEsophagus	B cell (Plasmocyte)	B cell	CL:0000236	Esophagus	UBERON:0001043	0.999819645739274	0.795339219506133	0.735055350553506	0.898439163270652	0.0465113252888613	NA
Fetal_HCA_Spleen_Myeloid cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	Myeloid cells	Myeloid cell	CL:0000763	Spleen	UBERON:0002106	0.999897167970738	0.780517699730679	0.749077490774908	0.898465942549369	0.0464983807066022	NA
AdultFallopiantube_B cell (Plasmocyte)	Adult	Reproductive system	AdultFallopiantube	B cell (Plasmocyte)	B cell	CL:0000236	Fallopian tube	UBERON:0003889	0.999839796807203	0.791180959791353	0.739483394833948	0.898678850883785	0.0463954786860655	NA
Madissoon_2020_lung_T_regulatory	Adult	Respiratory system	Madissoon_2020_lung	T_regulatory	T cell	CL:0000084	Lung	UBERON:0002048	0.999696704196944	0.806455359337722	0.726937269372694	0.89930872415234	0.046091193495422	NA
AdultPleura_T cell	Adult	Respiratory system	AdultPleura	T cell	T cell	CL:0000084	Pleura	UBERON:0000977	0.99983280548306	0.795750928388784	0.737269372693727	0.899543705193603	0.0459777311919133	NA
AdultGallbladder_Macrophage	Adult	Digestive system	AdultGallbladder	Macrophage	Macrophage	CL:0000235	Gall bladder	UBERON:0002110	0.999845811286915	0.792457257327572	0.74169741697417	0.90011902334598	0.0457000597110683	NA
FetalHeart_Ventricle cardiomyocyte	Fetal	Cardiovascular system	FetalHeart	Ventricle cardiomyocyte	Fetal cardiomyocyte	CL:0002495	Heart	UBERON:0000948	0.999889944668316	0.788793048271974	0.746125461254613	0.900530411731245	0.0455016160770462	NA
FetalLiver_Antigen presenting cell (RPS high)	Fetal	Digestive system	FetalLiver	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Liver	UBERON:0002107	0.999927197016365	0.779035547753134	0.755719557195572	0.900633127454914	0.0454520826825798	NA
Fetal_HCA_Adrenal_CSH1_CSH2 positive cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	CSH1_CSH2 positive cells	Trophoblast cell	CL:0000351	Adrenal gland	UBERON:0002369	0.999798406529039	0.804314473147935	0.73210332103321	0.900690809623268	0.0454242686432355	NA
