correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_cd,n_id,n_old_cd,n_old_id,correlation,p_value,p_adj_bh,old_diet_stratifying,all_diet_stratifying,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,all_diet_metabolite_cohens_d,all_diet_hormone_cohens_d,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,Liver,Glycylglutamine,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,0.6753105672299184,0.015956442178328395,0.7718346777285694,TRUE,TRUE,1.7077143596094486,0.7707687524700032,2.4463948670783275,1.277845624706336,101833.259748252,1190261.55506399,52.35,354.34
pearson,Liver,4-Oxoproline,Insulin,12,12,13,1,2M26,2M26,,8,4,3,4,0.6738795697457789,0.016266953464030277,0.7718346777285694,TRUE,FALSE,-1.1619385875715171,-0.5729614552088214,0.18957221494096527,0.18925405644351287,6052613.75655858,16404113.446725,155.89,2555.98
pearson,Liver,"5-(2-Thienyl)-3,4,7,7a-tetrahydrocyclopenta[b]pyran-6(2H)-one",GIP,12,12,12,0,,,,8,4,3,4,0.6737759540791374,0.01628960809866506,0.7718346777285694,TRUE,TRUE,-2.0710290939030562,-0.44889601269907653,-2.4401705783433116,-1.169512315049918,1165569.56896774,2870875.54410334,33.18,1104.9
pearson,Liver,val-arg,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,0.6731281889546188,0.01643176221326703,0.7718346777285694,TRUE,TRUE,2.267622999816602,0.7707687524700032,2.7420755926366547,1.277845624706336,53060.7460334469,975772.69885929,52.35,354.34
pearson,Liver,"3-Methoxyestra-1,3,5(10),16-tetraene",GIP,12,12,12,0,,,,8,4,3,4,0.6716756889989134,0.016753829678093354,0.7718346777285694,TRUE,TRUE,-2.2733725360047723,-0.44889601269907653,-2.521772764057745,-1.169512315049918,733302.469027502,1086631.15946397,33.18,1104.9
pearson,Liver,Pemoline,Insulin,13,13,13,0,,,,8,5,3,5,0.6441824893644937,0.017483237919553033,0.7718346777285694,TRUE,FALSE,-2.3280645157925504,-0.7833395778180952,-0.20089630836585048,-0.015669237473629045,131299.409126259,731464.094437334,155.89,2555.98
pearson,Liver,Tepilamide fumarate,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,-0.668119848074932,0.017561825629775176,0.7718346777285694,TRUE,TRUE,-1.5328312689326515,0.7707687524700032,-2.0540199896155937,1.277845624706336,110153.374844151,248160.205131405,52.35,354.34
pearson,Liver,ser-asn,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,0.6678437492882053,0.017625736974823395,0.7718346777285694,TRUE,TRUE,1.8908401957995038,0.7707687524700032,2.69537071423983,1.277845624706336,76843.289058684,1808565.73999308,52.35,354.34
pearson,Liver,"Galactose-beta-1,4-xylose",Resistin,10,10,13,3,2M26;2M33;4M2,2M26;2M33;4M2,,7,3,3,3,0.724362894683804,0.01782238598320515,0.7718346777285694,TRUE,FALSE,1.25612759397589,0.300165265160203,-0.22189989804158997,-0.5725261822011045,4024.5929690148,29813.0857111694,10804.59,50393.88
pearson,Liver,PEG n5,Resistin,11,11,13,2,2M22;4M2,2M22;4M2,,7,4,3,4,0.693591383838616,0.017928453894050966,0.7718346777285694,TRUE,FALSE,0.7478569966302516,1.0019507238607326,-0.4045790110817737,-0.2555763230653338,1736699.96663295,4763884.64067609,14530.03,50393.88
pearson,Liver,"LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",Insulin,13,13,13,0,,,,8,5,3,5,0.6411559513097472,0.018195316813961058,0.7718346777285694,TRUE,FALSE,-1.0824238622048667,-0.7833395778180952,-0.8468968995686981,-0.015669237473629045,1047127.4655364,4106709.30706895,155.89,2555.98
pearson,Liver,Diacetyl,GIP,12,12,12,0,,,,8,4,3,4,0.6643015761730238,0.01846089060642524,0.7718346777285694,TRUE,TRUE,-1.6740227790898063,-0.44889601269907653,-1.6712871067289417,-1.169512315049918,11247736.8521727,22716939.6946884,33.18,1104.9
pearson,Liver,1-[(3-Carboxypropyl)amino]-1-deoxy-β-D-fructofuranose,Insulin,12,12,13,1,2M33,2M33,,8,4,3,4,-0.6639554746302102,0.01854401800303138,0.7718346777285694,TRUE,TRUE,2.126926004244318,-0.5497272878061951,1.3161021223319613,0.24232170378753098,447643.593035549,710028.395335591,155.89,2555.98
pearson,Liver,N-Acetyl-L-tyrosine,GIP,12,12,12,0,,,,8,4,3,4,0.6639403903756839,0.018547647192589188,0.7718346777285694,TRUE,TRUE,1.8146055792538955,-0.44889601269907653,-0.6668015823551193,-1.169512315049918,618241.999035973,1991450.46949639,33.18,1104.9
pearson,Liver,L-Gulonolactone,GIP,12,12,12,0,,,,8,4,3,4,0.6636183649769328,0.018625248877229935,0.7718346777285694,TRUE,TRUE,-1.3648007277083047,-0.44889601269907653,-1.9583143674725045,-1.169512315049918,5338380.41075328,8672104.32354059,33.18,1104.9
pearson,Muscle,D-Ornithine,Insulin,13,13,13,0,,,,8,5,3,5,-0.6393170665349199,0.018638408595731914,0.7718346777285694,TRUE,FALSE,1.3097610980563348,-0.7833395778180952,0.777841755180117,-0.015669237473629045,531166.428779674,2410097.54198323,155.89,2555.98
pearson,Muscle,Isopropyl cyanide,GIP,12,12,12,0,,,,8,4,3,4,0.6624544938162994,0.018907701521647478,0.7721153713157484,TRUE,TRUE,1.2089485219244331,-0.44889601269907653,-0.267945756210575,-1.169512315049918,3566540.93864415,8449800.67772193,33.18,1104.9
pearson,Liver,Tetradecenoic acid,Insulin,13,13,13,0,,,,8,5,3,5,0.6376632207598374,0.019043744718683774,0.7721153713157484,TRUE,FALSE,-1.7142494642150858,-0.7833395778180952,-0.6652198499680665,-0.015669237473629045,7506389.65924411,33977800.1340986,155.89,2555.98
pearson,Liver,Phosphocreatinine,GLP-1,11,11,13,2,2M22;2M33,2M22,2M33,8,3,3,3,0.6868139788074938,0.01956784458313627,0.7750983613242952,TRUE,TRUE,2.2424173875793407,1.2550142910591473,3.435389991580499,1.9787992967400518,549002.674660773,1373280.86852517,52.35,354.34
pearson,Liver,Adenosine,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,-0.6596494766032159,0.019601301051285644,0.7750983613242952,TRUE,TRUE,-1.5777164604788974,0.7707687524700032,-1.196737659488282,1.277845624706336,47645631.2677416,126596662.81765,52.35,354.34
pearson,Liver,Homocysteinesulfinic acid,Insulin,13,13,13,0,,,,8,5,3,5,0.6352013136905612,0.01965925114259438,0.7760212497677969,TRUE,FALSE,-1.3552424229991473,-0.7833395778180952,-0.9785207966920627,-0.015669237473629045,90279266.7052296,302203696.603436,155.89,2555.98
pearson,Liver,PG(16:0/18:1(11Z)),Glucagon,12,12,13,1,4M1,4M1,,7,5,3,5,-0.6590091246323632,0.019762213324767224,0.777282054507849,TRUE,FALSE,-1.0585854429333763,0.8177262978081293,-0.3977430978307539,0.13865879408586831,5519067.76725692,15225305.1985476,88.58,661.43
pearson,Liver,Dimethylglycine,GIP,12,12,12,0,,,,8,4,3,4,-0.6573957380747395,0.020171914744962206,0.7795363683109683,TRUE,TRUE,1.0271077393000807,-0.44889601269907653,1.6860115190366298,-1.169512315049918,404382.771242674,1607203.11837443,33.18,1104.9
