metabolite_tissue,metabolite,hormone,correlation_direction,pearson_r,pearson_p_value,pearson_p_adj_bh,n,n_outlier_removed,removed_samples,n_old_cd,n_old_id,clustering_category,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,mean_metabolite_abundance__Old CD,mean_metabolite_abundance__Old ID,mean_metabolite_abundance__Young CD,mean_hormone_abundance__Old CD,mean_hormone_abundance__Old ID,mean_hormone_abundance__Young CD
Liver,Asparaginylglutamic acid,GLP-1,negative,-0.5974363345238088,0.040231568317938296,0.8341783073478718,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.1972640690073344,0.7707687524700032,627752.867661448,442592.346521967,664568.4083664335,148.54000000000002,228.4175,113.734
Liver,thr-arg,GLP-1,positive,0.5942965288913721,0.04156845410207063,0.8342054032317431,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.803015635174868,0.7707687524700032,800760.8737001204,1232849.6070468216,581261.8216524294,148.54000000000002,228.4175,113.734
Liver,N-Palmitoyl tyrosine,Glucagon,positive,0.5676856232065361,0.04300039650123777,0.8342054032317431,13,0,,3,5,CD groups cluster; Old ID separate,-1.1056380801073922,0.8177262978081293,15618785.001693837,7660208.740342693,19002302.778191995,224.83333333333334,306.004,284.392
Liver,N1-(2-Chlorobenzoyl)-4-[2-nitro-4-(trifluoromethyl)phenyl]piperazine-1-carboxamide,GIP,positive,0.5896789999616254,0.04359134513866509,0.8342054032317431,12,0,,3,4,CD groups cluster; Old ID separate,-2.0598221227577906,-0.44889601269907653,3449204.0962450337,1439386.458649607,3224721.898025412,293.11333333333334,183.1375,648.106
Liver,"DG(14:0/18:3(9Z,12Z,15Z)/0:0)",GLP-1,negative,-0.5843080777945011,0.046030791006702335,0.8423081545572892,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.5379580862862796,0.7707687524700032,120970.456362703,49376.13779943292,155169.58764292102,148.54000000000002,228.4175,113.734
Liver,Fluoxetine,GLP-1,positive,0.5814624663793216,0.04736155100021395,0.8447838782623683,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.7520801366975591,0.7707687524700032,236751.42077576733,342742.2615564495,156503.2285745207,148.54000000000002,228.4175,113.734
Liver,nicotinamide hypoxanthine dinucleotide,GLP-1,negative,-0.5797854473069743,0.048158386285732234,0.8495351525667997,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.8725541565945112,0.7707687524700032,189535.69422018132,155128.93773707098,202473.911780819,148.54000000000002,228.4175,113.734
Liver,gln-asn,Secretin,negative,-0.604649165013009,0.04876772151200659,0.8529025616386114,11,1,2M31,3,3,CD groups cluster; Old ID separate,1.3874224384972047,-0.33393058700811684,600718.2398206023,799207.0471664229,733024.114452904,39.31666666666667,32.166666666666664,40.77
Liver,"PC(18:2(9Z,12Z)/16:1(9Z))",GLP-1,positive,0.6041376755666571,0.0490103094192629,0.8541690911969478,11,2,2M23;2M33,3,3,CD groups cluster; Old ID separate,2.8533148979044403,0.7404468573589411,99517.462516122,192053.70553887298,112770.05370251271,148.54000000000002,234.03,113.734
Muscle,Caproylcholine,Resistin,positive,0.7385087272690967,0.003937701205821868,0.6776185814384534,13,0,,3,5,Mixed/no strong centroid clustering,-1.1280130482137969,0.4514552437965252,14758403.321684336,8650381.854762178,14577603.91264438,19981.716666666667,24078.628,31818.62
Liver,"1,25-Dihydroxyvitamin D3-26,23-lactone",Glucagon,positive,0.8568100864251287,0.006574029577487775,0.7584310403709481,8,5,4M1;4M2;4M3;4M4;4M5,3,5,Mixed/no strong centroid clustering,1.3986375382556877,0.8177262978081293,16150.017614156397,39872.39559543974,N/A,224.83333333333334,306.004,N/A
Muscle,Estrane,Resistin,positive,0.698768789094671,0.011463696734633223,0.7718346777285694,12,1,2M26,3,4,Mixed/no strong centroid clustering,-1.9785531718348104,0.2484074736337295,257478.00112726534,139372.25523252765,297950.7480594284,19981.716666666667,22284.71,31818.62
Muscle,PG(16:0/16:1(9Z)),Insulin,positive,0.5834232305141477,0.03633974951648429,0.8254855449604329,13,0,,3,5,Mixed/no strong centroid clustering,-1.781712498587089,-0.7833395778180952,28781175.64226357,9437810.712367183,21077076.838054348,1614.1266666666666,1006.546,660.682
Liver,"LysoPC(18:3(6Z,9Z,12Z)/0:0)",Insulin,positive,0.5825730257669844,0.036679051465888894,0.8254855449604329,13,0,,3,5,Mixed/no strong centroid clustering,-1.08581307496749,-0.7833395778180952,2297508.6256069834,1419317.9072502889,1919252.578365388,1614.1266666666666,1006.546,660.682
Liver,verofylline,Insulin,positive,0.5825730257669844,0.036679051465888894,0.8254855449604329,13,0,,3,5,Mixed/no strong centroid clustering,-1.08581307496749,-0.7833395778180952,2297508.6256069834,1419317.9072502889,1919252.578365388,1614.1266666666666,1006.546,660.682
