"tissue","raw.file","source","sequence.id","sample","sample.id","ion.mode","name","formula","mz","rt","ion.count","val.ic","med.val","val.adj.ic","med.adj.ic"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Ketobutyric acid","C4H6O3",101.02425,3.685,1138052.44081274,841154,907295.31,1227539.35912265,1472398.00889769
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Methoxyacetaminophen sulfate","C9H11NO6S",260.02545,15.158,390411.359634161,841154,907295.31,421110.041165824,505109.332365964
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Methoxyestradiol-3-methylether","C20H28O3",315.19628,2.556,1419406.86012978,841154,907295.31,1531017.1350045,1836410.83637437
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Methoxyestrone 3-glucuronide","C24H32O8",447.20567,3.993,426626.630530729,841154,907295.31,460172.977839532,551964.196735586
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Methylbutyrylglycine","C7H13NO3",158.08219,3.893,600320.366797941,841154,907295.31,647524.535689364,776686.979505774
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Methylhippuric acid","C10H11NO3",192.06656,3.896,2359279.74503595,841154,907295.31,2544793.75673077,3052406.61541288
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Methylpropanal","C4H8O",117.05566,3.858,61147.6905291974,841154,907295.31,65955.8330989001,79112.116942155
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Nonenoic acid","C9H16O2",155.10775,2.564,190341.769893519,841154,907295.31,205308.653494472,246261.800379896
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-O-Methylascorbic acid","C7H10O6",189.04035,8.465,2492631.96758275,841154,907295.31,2688631.68188453,3224936.05247447
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Octenoic acid","C8H14O2",141.09207,2.667,668307.6978456,841154,907295.31,720857.821388485,864648.137774853
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Phosphoglyceric acid","C3H7O7P",184.98549,14.975,2992869.69647816,841154,907295.31,3228203.91873041,3872137.36727074
