"tissue","raw.file","source","sequence.id","sample","ion.mode","name","formula","mz","rt","ion.count"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","4-Pyridoxic acid","C8H9NO4",182.0458,2.39,840864.00626823
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","5-(3',4',5'-Trihydroxyphenyl)-gamma-valerolactone-3'-O-glucuronide","C17H20O11",399.09537,13.601,3644.97347782016
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid","C11H18O4",213.113,3.704,2589913.94625026
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","5-Hydroxymethyl-4-methyluracil","C6H8N2O3",155.046,13.049,634247.419149431
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","5-Phenylvaleric acid","C11H14O2",177.09184,2.752,761012.259940303
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","5-Phosphoribosylamine","C5H12NO7P",228.02767,15.093,95448.9661646476
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","5-Sulfosalicylic acid","C7H6O6S",216.98107,3.87,97120.8848055341
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","5-Thymidylic acid","C10H15N2O8P",321.04936,14.61,83701.5788826572
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","5b-Cyprinol sulfate","C27H48O8S",531.2988,3.675,143776.258901635
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","6-Hydroxydopamine","C8H11NO3",168.06643,2.687,329016.439782147
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","6-Keto-prostaglandin F1a","C20H34O6",369.22832,3.09,224931.190314014
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","6-Phosphogluconic acid","C6H13O10P",257.00675,15.011,349434.398388887
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","7-Methylhypoxanthine","C6H6N4O",149.04539,6.543,3102766.16828529
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","7-Sulfocholic acid","C24H40O8S",487.23785,3.919,536361.30615065
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","8-Acetylegelolide","C16H20O6",307.1186,3.875,14924.5334138989
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","9-Decenoic acid","C10H18O2",169.12333,2.505,1487939.67703064
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","ADP-glucose","C16H25N5O15P2",588.07512,15.023,203277.64984505
