tissue,name,PC1,pc1_variance_explained,variance_explained,abs_variance_explained,rank
Liver,p-Isopropyl-α-methylstyrene,-0.04522856851860848,0.20931212974484736,4.281737926537673e-4,0.009466888001940697,103
Liver,5'-Methylthioadenosine,0.04521576005176575,0.20931212974484736,4.2793131435069694e-4,0.009464207034467079,104
Liver,Behenic acid,0.04516530650189363,0.20931212974484736,4.2697684148420027e-4,0.009453646494490158,105
Liver,"LysoPE(0:0/20:5(5Z,8Z,11Z,14Z,17Z))",-0.04511668163912988,0.20931212974484736,4.260579718502208e-4,0.009443468720906525,106
Liver,Carnosol,-0.04505959540217618,0.20931212974484736,4.249804697785041e-4,0.009431519879070628,107
Liver,ε-(γ-Glutamyl)-lysine,0.045053637977527705,0.20931212974484736,4.2486810206918146e-4,0.009430272917829661,108
Liver,Bumetanide,0.04503149020950918,0.20931212974484736,4.2445048574785583e-4,0.00942563712133661,109
Liver,Dimethylguanidino valeric acid,0.04498700209766032,0.20931212974484736,4.23612242419767e-4,0.009416325219897197,110
Liver,PE(16:1(9Z)/16:1(9Z)),0.04495044764407544,0.20931212974484736,4.229241048621299e-4,0.009408673929365688,111
Liver,ALLYL α-IONONE,-0.04482258645142017,0.20931212974484736,4.205215182584304e-4,0.009381911030819296,112
Liver,12-Hydroxydodecanoic acid,0.044773062105360556,0.20931212974484736,4.1959276561291545e-4,0.009371544984471337,113
Liver,Actinonin,0.0447588529500396,0.20931212974484736,4.1932648439649094e-4,0.009368570835909232,114
Liver,Cer(d18:1/24:1(15Z)),0.04473453498184282,0.20931212974484736,4.188709589607869e-4,0.009363480790194898,115
Liver,Adenosine diphosphate ribose,0.04472002582510728,0.20931212974484736,4.185992906035112e-4,0.00936044384769778,116
Liver,"PC(18:0/18:3(9Z,12Z,15Z))",0.04459286411513578,0.20931212974484736,4.1622209511015055e-4,0.009333827359361647,117
Liver,3-Methyl-1-phenyl-2-butene,-0.04449918962099394,0.20931212974484736,4.144752486928385e-4,0.009314220151490048,118
Liver,alpha-Tocopherol,0.04448150718775025,0.20931212974484736,4.141459179860453e-4,0.009310519003728741,119
Liver,Glabric acid,-0.04436819247528792,0.20931212974484736,4.1203856803312465e-4,0.009286800859931825,120
Liver,Pregnenolone,-0.044349106013241935,0.20931212974484736,4.1168413993979185e-4,0.009282805831911687,121
Liver,Cortexolone,0.04431616628759698,0.20931212974484736,4.110728208941583e-4,0.00927591114778373,122
Liver,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))",0.04420693739029494,0.20931212974484736,4.0904892309484423e-4,0.009253048214659759,123
Liver,N-CAFFEOYLTYRAMINE,0.04408038449757664,0.20931212974484736,4.067102753253891e-4,0.00922655915915952,124
Liver,Tyrosol 4-sulfate,0.04401993013882933,0.20931212974484736,4.0559546886978037e-4,0.009213905328577762,125
Liver,Furmecyclox,-0.0439852907442226,0.20931212974484736,4.0495739181573026e-4,0.009206654883119555,126
Liver,"Methyl 2E,4Z-hexadecadienoate",-0.04389165199882679,0.20931212974484736,4.032350278843155e-4,0.009187055157894123,127
Liver,"5α-ergosta-7,22-diene-3β,5-diol",0.04388930908744812,0.20931212974484736,4.031919801211469e-4,0.009186564758123648,128
Liver,Palmitoyl Serinol,0.04384531605283085,0.20931212974484736,4.023840954983058e-4,0.00917735648235397,129
Liver,6-Hydroxydopamine,-0.04369392940785378,0.20931212974484736,3.9961023408092685e-4,0.009145669421278892,130
Liver,"13-hydroxy-6-(1-hydroxyethyl)-12,14-dimethyl-3-methylidene-15-nonyl-9-(propan-2-yl)-1-oxa-4,7,10-triazacyclopentadecane-2,5,8,11-tetrone",0.043670487713060875,0.20931212974484736,3.991815691181738e-4,0.00914076279021696,131
Liver,pg (39:7),0.04359790691653,0.20931212974484736,3.9785578408019044e-4,0.009125570749116506,132
