"ontology","ID","Description","age_direction","age_NES","age_p.adjust","age_setSize","diet_direction","diet_NES","diet_p.adjust","diet_setSize","NES_delta","abs_NES_delta","direction_switch","NES_change_class","best_p.adjust","worst_p.adjust"
"BP","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","Down",-2.08184800291055,0.00117676840241436,35,"Up",2.04504878503171,0.00492511478103802,38,4.12689678794226,4.12689678794226,TRUE,"Switched: young-down, ID-up",0.00117676840241436,0.00492511478103802
"BP","GO:0030593","neutrophil chemotaxis","Down",-2.23565927866906,1.33110370013233e-05,71,"Up",1.88372814280607,0.00736942159077623,75,4.11938742147513,4.11938742147513,TRUE,"Switched: young-down, ID-up",1.33110370013233e-05,0.00736942159077623
"BP","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","Down",-2.2027026202408,0.00026207923862268,19,"Up",1.90296171287231,0.0315904371209974,22,4.10566433311311,4.10566433311311,TRUE,"Switched: young-down, ID-up",0.00026207923862268,0.0315904371209974
"BP","GO:1990868","response to chemokine","Down",-2.09969706582131,9.58767959877356e-05,65,"Up",2.00579513161582,0.00198251216600288,67,4.10549219743713,4.10549219743713,TRUE,"Switched: young-down, ID-up",9.58767959877356e-05,0.00198251216600288
"BP","GO:1990869","cellular response to chemokine","Down",-2.09969706582131,9.58767959877356e-05,65,"Up",2.00579513161582,0.00198251216600288,67,4.10549219743713,4.10549219743713,TRUE,"Switched: young-down, ID-up",9.58767959877356e-05,0.00198251216600288
"BP","GO:0070098","chemokine-mediated signaling pathway","Down",-2.09146015667536,0.000279873242390824,58,"Up",1.99484570810846,0.0024829037423073,60,4.08630586478383,4.08630586478383,TRUE,"Switched: young-down, ID-up",0.000279873242390824,0.0024829037423073
"BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","Down",-2.47573783144006,1.02795541633254e-07,49,"Up",1.60769031709768,0.089328718257069,52,4.08342814853773,4.08342814853773,TRUE,"Switched: young-down, ID-up",1.02795541633254e-07,0.089328718257069
"BP","GO:0045576","mast cell activation","Down",-2.19197743090957,2.72862804885633e-05,60,"Up",1.88902766518927,0.00934942956326666,64,4.08100509609884,4.08100509609884,TRUE,"Switched: young-down, ID-up",2.72862804885633e-05,0.00934942956326666
"BP","GO:0042742","defense response to bacterium","Down",-2.33675043467995,4.76163398886348e-11,203,"Up",1.68228716647123,0.00606367265921452,213,4.01903760115119,4.01903760115119,TRUE,"Switched: young-down, ID-up",4.76163398886348e-11,0.00606367265921452
"BP","GO:0002685","regulation of leukocyte migration","Down",-1.87056297032758,4.88551676541575e-05,195,"Up",2.13561007602203,6.93630807019966e-07,204,4.0061730463496,4.0061730463496,TRUE,"Switched: young-down, ID-up",6.93630807019966e-07,4.88551676541575e-05
"BP","GO:0071674","mononuclear cell migration","Down",-2.04545046689999,4.16782749422829e-06,170,"Up",1.96033935399731,4.68438087579155e-05,177,4.0057898208973,4.0057898208973,TRUE,"Switched: young-down, ID-up",4.16782749422829e-06,4.68438087579155e-05
"BP","GO:0002703","regulation of leukocyte mediated immunity","Down",-2.31725964570281,1.79871235301363e-10,198,"Up",1.67995341931919,0.00392438890786286,208,3.99721306502201,3.99721306502201,TRUE,"Switched: young-down, ID-up",1.79871235301363e-10,0.00392438890786286
"BP","GO:0031640","killing of cells of another organism","Down",-2.37248383002453,2.34894864506254e-06,63,"Up",1.61649179664186,0.0553365593999653,68,3.98897562666639,3.98897562666639,TRUE,"Switched: young-down, ID-up",2.34894864506254e-06,0.0553365593999653
"BP","GO:0141061","disruption of cell in another organism","Down",-2.37248383002453,2.34894864506254e-06,63,"Up",1.61649179664186,0.0553365593999653,68,3.98897562666639,3.98897562666639,TRUE,"Switched: young-down, ID-up",2.34894864506254e-06,0.0553365593999653
"BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","Down",-2.12757547115083,0.00125727408202451,17,"Up",1.861370963604,0.0622218524614437,20,3.98894643475483,3.98894643475483,TRUE,"Switched: young-down, ID-up",0.00125727408202451,0.0622218524614437
