"source","ion.mode","name","formula","mz","rt","med.ic","n.samples"
"CD","nega","Dodecanoic acid","C12H24O2",199.17026,2.37,7124191.73746055,44
"CD","nega","Dodecanoylcarnitine","C19H37NO4",342.26484,2.42,297950.676895889,22
"CD","nega","Eicosadienoic acid","C20H36O2",307.26383,2.21,23128023.7794213,44
"CD","nega","Eicosapentaenoic acid","C20H30O2",301.21691,2.239,24633672.1485519,44
"CD","nega","Elaidic acid","C18H34O2",281.24819,2.218,1204456678.23738,44
"CD","nega","Encelin","C15H16O3",243.10257,2.633,212081.978588956,44
"CD","nega","Enterodiol","C18H22O4",301.14438,2.768,759951.733047244,22
"CD","nega","Ethyl glucuronide","C8H14O7",221.06656,11.338,3424576.03786363,44
"CD","nega","Ethylene brassylate","C15H26O4",539.35199,2.571,69266.3928727538,22
"CD","nega","FAPy-adenine","C5H7N5O",152.05766,10.085,210392.071047291,22
"CD","nega","Fasciculol C","C30H52O6",507.36919,4.068,194130.536002535,22
"CD","nega","Ferulic acid","C10H10O4",193.05038,2.803,429033.096079638,22
"CD","nega","Ferulic acid 4-O-sulfate","C10H10O7S",273.00717,3.747,212834.853621017,44
"CD","nega","Flavin mononucleotide","C17H21N4O9P",455.10153,2.512,139510.616417358,22
"CD","nega","Floribundoside","C21H22O10",433.11303,11.636,271514.922266081,44
"CD","nega","Fructose 1,6-bisphosphate","C6H14O12P2",338.9885,14.715,51824.5249598915,22
"CD","nega","Fructose 6-phosphate","C6H13O9P",259.02221,14.993,35923863.7345389,44
"CD","nega","Furazolidone","C8H7N3O5",224.03309,4.043,185735.401681323,44
"CD","nega","Galactaric acid","C6H10O8",209.03002,15.122,734448.398938372,22
"CD","nega","Galactitol","C6H14O6",181.0717,12.593,3671516.54692843,44
"CD","nega","Galactonic acid","C6H12O7",195.05087,13.589,65658799.4094888,22
"CD","nega","Galactose-beta-1,4-xylose","C11H20O10",311.09689,15.269,11538.9324322343,22
"CD","nega","Geranyl acetoacetate","C14H22O3",237.14932,2.369,335591.795241461,44
"CD","nega","Glabric acid","C30H46O5",485.32703,2.08,29936.9452218876,22
"CD","nega","Gluconic acid","C6H12O7",195.0508,14.4,4554606.85227145,22
"CD","nega","Glucosamine 6-phosphate","C6H14NO8P",258.03804,14.737,616041.982080464,22
"CD","nega","Glucose 1-phosphate","C6H13O9P",259.0224,16.324,44298.4221961622,22
"CD","nega","Glutaconic acid","C5H6O4",129.01911,14.754,3469475.40616774,44
"CD","nega","Glutaminylhistidine","C11H17N5O4",282.12051,14.123,454457.274567097,22
"CD","nega","Glutaric acid","C5H8O4",131.03471,13.08,8881076.15593896,22
"CD","nega","Glutarylglycine","C7H11NO5",188.05641,13.509,4845343.8148165,44
