Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
FetalSpinalCord_Antigen presenting cell (RPS high)	Fetal	Nervous system	FetalSpinalCord	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Spinal cord	UBERON:0002240	2.1351489448163e-29	4.11708882651482e-05	0.343911439114391	0.000172248058555979	3.76384566441701	NA
AdultTemporalLobe_Smooth muscle cell	Adult	Nervous system	AdultTemporalLobe	Smooth muscle cell	Smooth muscle cell	CL:0000192	Temporal lobe	UBERON:0001871	2.85831692933612e-29	4.11708882651482e-05	0.344649446494465	0.000172587272585512	3.76299123440115	NA
AdultSigmoidColon_T cell	Adult	Digestive system	AdultSigmoidColon	T cell	T cell	CL:0000084	Sigmoid colon	UBERON:0001159	3.32562374611156e-29	4.11708882651482e-05	0.345387453874539	0.000172926421551978	3.76213864549088	NA
TS_Thymus_vascular associated smooth muscle cell	Adult	Lymphatic system	TS_Thymus	vascular associated smooth muscle cell	Smooth muscle cell	CL:0000192	Thymus	UBERON:0002370	1.91330385571307e-70	0.000123512664795445	0.115129151291513	0.000172926421551978	3.76213864549088	NA
FetalPancreas_B cell	Fetal	Digestive system	FetalPancreas	B cell	B cell	CL:0000236	Pancreas	UBERON:0001264	3.41080475782996e-29	4.11708882651482e-05	0.346125461254613	0.000173265505594489	3.76128788980243	NA
AdultGallbladder_Goblet cell	Adult	Digestive system	AdultGallbladder	Goblet cell	Goblet cell	CL:0000160	Gall bladder	UBERON:0002110	5.31371592851326e-29	4.11708882651482e-05	0.346863468634686	0.000173604524851378	3.76043895950299	NA
MacParland_2018_liver_T cell	Adult	Digestive system	MacParland_2018_liver	T cell	T cell	CL:0000084	Liver	UBERON:0002107	5.41433794202938e-29	4.11708882651482e-05	0.34760147601476	0.000173943479460537	3.75959184680938	NA
AdultPeripheralBlood_Monocyte	Adult	Lymphatic system	AdultPeripheralBlood	Monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178	8.61893937756233e-29	4.11708882651482e-05	0.348339483394834	0.000174282369559187	3.75874654398827	NA
AdultIleum_Dendritic cell	Adult	Digestive system	AdultIleum	Dendritic cell	Dendritic cell	CL:0000451	Ileum	UBERON:0002116	9.58464962368307e-29	4.11708882651482e-05	0.349077490774908	0.000174621195283997	3.75790304335545	NA
Fetal_HCA_Heart_Lymphoid cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Lymphoid cells	Innate lymphoid cell	CL:0001065	Heart	UBERON:0000948	1.2564987433318e-28	4.11708882651482e-05	0.349815498154982	0.000174959956771081	3.75706133727542	NA
