"contrast","direction","Developmental_stage","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"old ID vs old CD","Upregulated","Fetal","COL14A1",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell; Fetal_HCA_Muscle_Schwann cells","Stromal cells; Fetal stromal cell; Schwann cells","Stromal cell; Schwann cell"
"old ID vs old CD","Upregulated","Fetal","COL6A6",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","ECM2",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; Fetal_HCA_Muscle_Smooth muscle cells","Stromal cells; Smooth muscle cells","Stromal cell; Smooth muscle cell"
"old ID vs old CD","Upregulated","Fetal","FAM171B",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","FNDC1",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","GALNT16",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","GJA1",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell; FetalMuscle_Endothelial cell","Stromal cells; Fetal stromal cell; Endothelial cell","Stromal cell; Endothelial cell"
"old ID vs old CD","Upregulated","Fetal","GPC3",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","GPX8",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","GULP1",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; Fetal_HCA_Muscle_Vascular endothelial cells; Fetal_HCA_Muscle_Schwann cells","Stromal cells; Vascular endothelial cells; Schwann cells","Stromal cell; Endothelial cell; Schwann cell"
"old ID vs old CD","Upregulated","Fetal","INHBA",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell; Fetal_HCA_Muscle_Smooth muscle cells","Stromal cells; Fetal stromal cell; Smooth muscle cells","Stromal cell; Smooth muscle cell"
"old ID vs old CD","Upregulated","Fetal","LEPR",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells","Stromal cells","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","LTBP4",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
