"Tissue_cell_type_name","Developmental_stage","Organ_system","Tissue","Specific_cell_type","General_cell_type","Cell_Ontology_ID","General_tissue_name","Uber_anatomy_ontology_ID","input_list_raw_p","input_list_permutated_p","input_list_rank_p","input_list_combined_p","input_list_combined_log10p","delabel","webcsea_job","contrast","direction"
"Fetal_HCA_Eye_Photoreceptor cells","Fetal","Sensory system","Fetal_HCA_Eye","Photoreceptor cells","Photoreceptor cell","CL:0000210","Eye","UBERON:0000970",0.41504504903313,0.599036424257906,0.770479704797048,0.818400703390422,0.0870340060328859,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Madissoon_2020_lung_B_cell_mature","Adult","Respiratory system","Madissoon_2020_lung","B_cell_mature","B cell","CL:0000236","Lung","UBERON:0002048",0.417729155442199,0.596977879844649,0.776383763837638,0.819895457594169,0.0862415196704329,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Small_Intestine_intestinal crypt stem cell","Adult","Digestive system","TS_Small_Intestine","intestinal crypt stem cell","Intestinal crypt stem cell","CL:0002250","Small intestine","UBERON:0002108",0.203255740198223,0.66672136456581,0.695940959409594,0.820291023676359,0.0860320408434634,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"NeonatalAdrenalGland_T cell","Neonatal","Endocrine system","NeonatalAdrenalGland","T cell","T cell","CL:0000084","Adrenal gland","UBERON:0002369",0.480354534126764,0.589114240186005,0.793357933579336,0.82287396507057,0.0846666781121367,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Eye_plasma cell","Adult","Sensory system","TS_Eye","plasma cell","Plasma cell","CL:0000786","Eye","UBERON:0000970",0.208221551701008,0.665939117688772,0.703690036900369,0.823812655169581,0.0841715408232746,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalAdrenalGland_Fetal neuron","Fetal","Endocrine system","FetalAdrenalGland","Fetal neuron","Neuron","CL:0000540","Adrenal gland","UBERON:0002369",0.404649182768709,0.613528576927238,0.766051660516605,0.824856526229965,0.0836215851292652,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"VentoTormo_2018_decidua_decidual natural killer cell (dNK2)","Maternal-Fetal","Reproductive system","VentoTormo_2018_decidua","decidual natural killer cell (dNK2)","Natural killer cell","CL:0000623","Decidua","UBERON:0002450",0.317615088027329,0.629832248680237,0.746863468634686,0.825161471476387,0.0834610583477445,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalIntestine_Erythroid cell","Fetal","Digestive system","FetalIntestine","Erythroid cell","Erythroid lineage cell","CL:0000764","Intestine","UBERON:0000160",0.433282824120262,0.603935759961459,0.781918819188192,0.826538084855514,0.0827371304028476,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Skin_mast cell","Adult","Integumentary system","TS_Skin","mast cell","Mast cell","CL:0000097","Skin of body","UBERON:0002097",0.417226900516343,0.613981456698155,0.774169741697417,0.828851701493787,0.0815231666563422,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultPeripheralBlood_B cell","Adult","Lymphatic system","AdultPeripheralBlood","B cell","B cell","CL:0000236","Blood","UBERON:0000178",0.509473343256118,0.594219430330884,0.802214022140221,0.829865186007193,0.0809924542849221,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultArtery_Stromal cell","Adult","Cardiovascular system","AdultArtery","Stromal cell","Stromal cell","CL:0000499","Artery","UBERON:0001637",0.507376184039172,0.598954082481376,0.798154981549815,0.830876038365064,0.0804637654695727,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Trachea_tracheal goblet cell","Adult","Respiratory system","TS_Trachea","tracheal goblet cell","Goblet cell","CL:0000160","Trachea","UBERON:0003126",0.305824333359536,0.648194464846493,0.738745387453875,0.831460254941666,0.0801585058816997,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Uterus_epithelial cell","Adult","Reproductive system","TS_Uterus","epithelial cell","Epithelial cell","CL:0000066","Uterus","UBERON:0000995",0.20308754803929,0.68895364422899,0.69520295202952,0.831542667926074,0.0801154614541732,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultTrachea_Basal cell","Adult","Respiratory system","AdultTrachea","Basal cell","Basal cell","CL:0000646","Trachea","UBERON:0003126",0.460304663600803,0.610070222312966,0.785977859778598,0.831939199381489,0.0799084120962763,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Salivary_Gland_plasma cell","Adult","Digestive system","TS_Salivary_Gland","plasma cell","Plasma cell","CL:0000786","Saliva-secreting gland","UBERON:0001044",0.208308571303786,0.68063712479943,0.70479704797048,0.832093026591682,0.079828117607142,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Trachea_serous cell of epithelium of trachea","Adult","Respiratory system","TS_Trachea","serous cell of epithelium of trachea","Serous cell of epithelium of trachea","CL:1000330","Trachea","UBERON:0003126",0.305824333359536,0.653011458773515,0.738745387453875,0.83406744885395,0.0787988276828385,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalBrain_Fetal endocrine cell","Fetal","Nervous system","FetalBrain","Fetal endocrine cell","Endocrine cell","CL:0000163","Brain","UBERON:0000955",0.474060799962323,0.610605443860413,0.790405904059041,0.834225544682705,0.0787165158269333,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalIntestine_CB CD34+","Fetal","Digestive system","FetalIntestine","CB CD34+","Hematopoietic stem cell","CL:0000037","Intestine","UBERON:0000160",0.433282824120262,0.618139716412935,0.781918819188192,0.834741488417777,0.0784480006078688,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Fetal_HCA_Stomach_Ciliated epithelial cells","Fetal","Digestive system","Fetal_HCA_Stomach","Ciliated epithelial cells","Ciliated cell","CL:0000064","Stomach","UBERON:0000945",0.508128125841218,0.60706474746961,0.799630996309963,0.836258460334005,0.0776594754928353,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Madissoon_2020_lung_T_cells_Dividing","Adult","Respiratory system","Madissoon_2020_lung","T_cells_Dividing","T cell","CL:0000084","Lung","UBERON:0002048",0.417729155442199,0.626085697848108,0.776383763837638,0.83673139015706,0.0774139380582944,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Fetal_HCA_Intestine_Chromaffin cells","Fetal","Digestive system","Fetal_HCA_Intestine","Chromaffin cells","Neuron","CL:0000540","Intestine","UBERON:0000160",0.447433029820097,0.622462659680775,0.785239852398524,0.838671418461979,0.076408157287484,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
