"direction","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"Downregulated","HEBP1",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; FetalMuscle_Primordial germ cell; TS_Muscle_tendon cell; FetalMuscle_Fetal stromal cell; TS_Muscle_endothelial cell of lymphatic vessel","mesenchymal stem cell; Primordial germ cell; tendon cell; Fetal stromal cell; endothelial cell of lymphatic vessel","Mesenchymal stem cell; Primordial germ cell; Cell of skeletal muscle; Stromal cell; Endothelial cell"
"Downregulated","HOXA10",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_tendon cell; TS_Muscle_fast muscle cell; TS_Muscle_slow muscle cell","mesenchymal stem cell; tendon cell; fast muscle cell; slow muscle cell","Mesenchymal stem cell; Cell of skeletal muscle"
"Downregulated","MAP1LC3A",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; AdultMuscle_Smooth muscle cell; FetalMuscle_Smooth muscle cell","mesenchymal stem cell; Smooth muscle cell","Mesenchymal stem cell; Smooth muscle cell"
"Downregulated","MCFD2",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_endothelial cell of vascular tree","mesenchymal stem cell; endothelial cell of vascular tree","Mesenchymal stem cell; Endothelial cell"
"Downregulated","NFIB",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_endothelial cell of artery; AdultMuscle_Smooth muscle cell; TS_Muscle_endothelial cell of vascular tree; TS_Muscle_capillary endothelial cell; FetalMuscle_Fetal stromal cell; Fetal_HCA_Muscle_Satellite cells; Fetal_HCA_Muscle_Stromal cells","mesenchymal stem cell; endothelial cell of artery; Smooth muscle cell; endothelial cell of vascular tree; capillary endothelial cell; Fetal stromal cell; Satellite cells; Stromal cells","Mesenchymal stem cell; Endothelial cell; Smooth muscle cell; Capillary endothelial cell; Stromal cell; Skeletal muscle satellite cell"
"Downregulated","NUCKS1",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_skeletal muscle satellite stem cell; TS_Muscle_tendon cell; TS_Muscle_pericyte cell; AdultMuscle_Smooth muscle cell; Fetal_HCA_Muscle_Satellite cells","mesenchymal stem cell; skeletal muscle satellite stem cell; tendon cell; pericyte cell; Smooth muscle cell; Satellite cells","Mesenchymal stem cell; Skeletal muscle satellite cell; Cell of skeletal muscle; Pericyte cell; Smooth muscle cell"
"Downregulated","NUDT1",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; FetalMuscle_Fetal skeletal muscle cell","mesenchymal stem cell; Fetal skeletal muscle cell","Mesenchymal stem cell; Cell of skeletal muscle"
"Downregulated","PBX3",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; Fetal_HCA_Muscle_Smooth muscle cells","mesenchymal stem cell; Smooth muscle cells","Mesenchymal stem cell; Smooth muscle cell"
"Downregulated","PRDX6",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_fast muscle cell; TS_Muscle_slow muscle cell; Fetal_HCA_Muscle_Skeletal muscle cells; FetalMuscle_Fetal skeletal muscle cell; AdultMuscle_T cell","mesenchymal stem cell; fast muscle cell; slow muscle cell; Skeletal muscle cells; Fetal skeletal muscle cell; T cell","Mesenchymal stem cell; Cell of skeletal muscle; T cell"
"Downregulated","RHOQ",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_macrophage","mesenchymal stem cell; macrophage","Mesenchymal stem cell; Macrophage"
"Downregulated","RNF103",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"Downregulated","SCARB2",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; Fetal_HCA_Muscle_Schwann cells","mesenchymal stem cell; Schwann cells","Mesenchymal stem cell; Schwann cell"
"Downregulated","UBE2H",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; Fetal_HCA_Muscle_Skeletal muscle cells; FetalMuscle_Erythroid cell","mesenchymal stem cell; Skeletal muscle cells; Erythroid cell","Mesenchymal stem cell; Cell of skeletal muscle; Erythroid lineage cell"
"Downregulated","ATG7",0.100415919500004,0.998197430588016,"TS_Muscle_macrophage; Fetal_HCA_Muscle_Myeloid cells","macrophage; Myeloid cells","Macrophage; Myeloid cell"
"Downregulated","CAB39",0.100415919500004,0.998197430588016,"TS_Muscle_macrophage; FetalMuscle_Dendritic cell; FetalMuscle_Macrophage; Fetal_HCA_Muscle_Myeloid cells; Fetal_HCA_Muscle_Lymphoid cells","macrophage; Dendritic cell; Macrophage; Myeloid cells; Lymphoid cells","Macrophage; Dendritic cell; Myeloid cell; Innate lymphoid cell"
"Downregulated","CANX",0.100415919500004,0.998197430588016,"TS_Muscle_macrophage; FetalMuscle_Endothelial cell","macrophage; Endothelial cell","Macrophage; Endothelial cell"
"Downregulated","CSGALNACT2",0.100415919500004,0.998197430588016,"TS_Muscle_macrophage; Fetal_HCA_Muscle_Lymphoid cells","macrophage; Lymphoid cells","Macrophage; Innate lymphoid cell"
"Downregulated","FAM83H",0.100415919500004,0.998197430588016,"TS_Muscle_macrophage","macrophage","Macrophage"
"Downregulated","GDPD1",0.100415919500004,0.998197430588016,"TS_Muscle_macrophage; FetalMuscle_Macrophage; Fetal_HCA_Muscle_Myeloid cells","macrophage; Macrophage; Myeloid cells","Macrophage; Myeloid cell"
