plate,assay_group,well_id,raw_sample_id,sample,sample_suffix,sampling_tissue,sampling_time,sampling_month,diet,cohort,animal,age,group,cytokine,concentration_pg_ml,mfi
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,IL-10,N/A,2605.12915
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,IL-17A,N/A,2878.74536
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,IL-17F,N/A,1313.65796
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,IL-1a,651.1749334179955,66448.17969
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,IL-6,24.52276887603004,3422.57544
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,IL-7,0.35786696501770743,2593.99292
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,TNF-alpha,9.284710671104154,1588.56787
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,GDF-15,589.457896714957,107194.85938
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,IFN-gamma,N/A,1094.07886
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,IL-10,N/A,2581.14136
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,IL-17A,N/A,3182.48218
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,IL-17F,N/A,1834.42212
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,IL-1a,19.443753480309937,3672.59692
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,IL-6,52.928190916086855,4212.57422
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,IL-7,2.71695903611613,4734.875
Plate 1,Unknown Group 1,33,2M16_pv_sac,2M16,pv_sac,portal blood,sacrificed sample,N/A,CD,2,16,Old,Old CD,TNF-alpha,28.391255476225055,2925.83496
