Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
AdultKidney_Intercalated cell	Adult	Urinary system	AdultKidney	Intercalated cell	Renal intercalated cell	CL:0005010	Kidney	UBERON:0002113	0.713089413972114	0.752974375481295	0.863837638376384	0.930201562514859	0.0314229353136324	NA
MacParland_2018_liver_Hepatocyte	Adult	Digestive system	MacParland_2018_liver	Hepatocyte	Hepatocyte	CL:0000182	Liver	UBERON:0002107	0.734168374041282	0.753303742587416	0.866420664206642	0.931156992697218	0.0309770909691108	NA
FetalEyes_Primordial germ cell	Fetal	Sensory system	FetalEyes	Primordial germ cell	Primordial germ cell	CL:0000670	Eye	UBERON:0000970	0.773851396991821	0.745934153587955	0.877490774907749	0.93195321319974	0.0306058899627712	NA
AdultUterus_Loop of Henle	Adult	Reproductive system	AdultUterus	Loop of Henle	Kidney loop of Henle epithelial cell	CL:1000909	Uterus	UBERON:0000995	0.768334045959535	0.748116210666008	0.876014760147601	0.932296208857331	0.0304460818155063	NA
FetalPancreas_T cell	Fetal	Digestive system	FetalPancreas	T cell	T cell	CL:0000084	Pancreas	UBERON:0001264	0.745059260230958	0.755074090782818	0.871586715867159	0.933453225728576	0.0299074391684827	NA
Fetal_HCA_Muscle_Skeletal muscle cells	Fetal	Muscular system	Fetal_HCA_Muscle	Skeletal muscle cells	Cell of skeletal muscle	CL:0000188	Muscle organ	UBERON:0001630	0.773414531981878	0.751533394392015	0.876752767527675	0.933785956524471	0.0297526618357025	NA
TS_Muscle_cd8-positive, alpha-beta t cell	Adult	Muscular system	TS_Muscle	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Muscle organ	UBERON:0001630	0.879833899944199	0.723125481489063	0.923247232472325	0.937364055157589	0.0280917042679281	NA
TS_Uterus_ciliated epithelial cell	Adult	Reproductive system	TS_Uterus	ciliated epithelial cell	Ciliated cell	CL:0000064	Uterus	UBERON:0000995	0.673572196805065	0.787516750735754	0.848708487084871	0.937666073104318	0.0279517974719172	NA
FetalAdrenalGland_Primordial germ cell	Fetal	Endocrine system	FetalAdrenalGland	Primordial germ cell	Primordial germ cell	CL:0000670	Adrenal gland	UBERON:0002369	0.779542393294592	0.759479375827188	0.880442804428044	0.937789294171702	0.0278947294865843	NA
Fetal_HCA_Stomach_Erythroblasts	Fetal	Digestive system	Fetal_HCA_Stomach	Erythroblasts	Erythroblast	CL:0000765	Stomach	UBERON:0000945	0.788750880561215	0.756268046542507	0.884870848708487	0.937998928287009	0.0277976578248844	NA
Voigt_2019_retina_1_Mast cell	Adult	Sensory system	Voigt_2019_retina_1	Mast cell	Mast cell	CL:0000097	Retina	UBERON:0000966	0.765915258939766	0.764913933078188	0.875276752767528	0.938124111457623	0.02773970175361	NA
AdultTransverseColon_Epithelial cell	Adult	Digestive system	AdultTransverseColon	Epithelial cell	Epithelial cell	CL:0000066	Transverse colon	UBERON:0001157	0.73418126721232	0.77236586385418	0.867158671586716	0.938225317734649	0.0276928519216916	NA
Fetal_HCA_Lung_Ciliated epithelial cells	Fetal	Respiratory system	Fetal_HCA_Lung	Ciliated epithelial cells	Ciliated cell	CL:0000064	Lung	UBERON:0002048	0.73502059549217	0.771336591647551	0.868634686346863	0.938323861532205	0.0276472394453264	NA
AdultPeripheralBlood_Dendritic cell	Adult	Lymphatic system	AdultPeripheralBlood	Dendritic cell	Dendritic cell	CL:0000451	Blood	UBERON:0000178	0.807328927290999	0.754044818576189	0.891512915129151	0.939213574810096	0.0272356390281977	NA
AdultLung_Mast cell	Adult	Respiratory system	AdultLung	Mast cell	Mast cell	CL:0000097	Lung	UBERON:0002048	0.774695497420013	0.765737350843491	0.878228782287823	0.939313561668047	0.0271894073396915	NA
AdultJeJunum_B cell (Plasmocyte)	Adult	Digestive system	AdultJeJunum	B cell (Plasmocyte)	B cell	CL:0000236	Jejunum	UBERON:0002115	0.816658541367083	0.750957001956303	0.895940959409594	0.93944067027657	0.027130642263952	NA
AdultStomach_B cell (Plasmocyte)	Adult	Digestive system	AdultStomach	B cell (Plasmocyte)	B cell	CL:0000236	Stomach	UBERON:0000945	0.836067192854627	0.742558140750212	0.907011070110701	0.939715856670929	0.0270034448413791	NA
TS_Heart_cardiac muscle cell	Adult	Cardiovascular system	TS_Heart	cardiac muscle cell	Muscle cell	CL:0000187	Heart	UBERON:0000948	0.673623394176677	0.794639314405625	0.849446494464945	0.940305154051409	0.026731183406571	NA
TS_Thymus_dn4 thymocyte	Adult	Lymphatic system	TS_Thymus	dn4 thymocyte	Thymocyte	CL:0000893	Thymus	UBERON:0002370	0.673651741519436	0.794639314405625	0.850184501845018	0.940535395957672	0.0266248556374341	NA
AdultProstate_Gastric endocrine cell	Adult	Reproductive system	AdultProstate	Gastric endocrine cell	Endocrine cell	CL:0000163	Prostate gland	UBERON:0002367	0.831791784264505	0.749804217084879	0.901845018450184	0.940777148338197	0.0265132402381266	NA
TS_Blood_plasma cell	Adult	Lymphatic system	TS_Blood	plasma cell	Plasma cell	CL:0000786	Blood	UBERON:0000178	0.673721302866337	0.795627415723989	0.850922509225092	0.941093611368709	0.0263671747886643	NA
TS_Large_Intestine_enterocyte of epithelium of large intestine	Adult	Digestive system	TS_Large_Intestine	enterocyte of epithelium of large intestine	Enterocyte	CL:0000584	Large intestine	UBERON:0000059	0.679181833264582	0.793651213087261	0.853136531365314	0.941123082331154	0.0263535747856358	NA
AdultPancreas_Fetal endocrine cell	Adult	Digestive system	AdultPancreas	Fetal endocrine cell	Endocrine cell	CL:0000163	Pancreas	UBERON:0001264	0.822614623044677	0.755403457888939	0.897416974169742	0.941441970184356	0.0262064444263091	NA
AdultRectum_Enterocyte	Adult	Digestive system	AdultRectum	Enterocyte	Enterocyte	CL:0000584	Rectum	UBERON:0001052	0.808893628486397	0.760261622704226	0.892250922509225	0.941609863907053	0.0261290006553129	NA
TS_Eye_adipocyte	Adult	Sensory system	TS_Eye	adipocyte	Epicardial adipocyte	CL:1000309	Eye	UBERON:0000970	0.6793820995707	0.79476282707042	0.853874538745387	0.94171987311478	0.0260782645670013	NA
