CJ,HMDB Name,Formula,RT,Detected.in,confirmation,HMDB ID,other ID,Classification
CJ1523,fapy-adenine,C5H7N5O,,,,HMDB0004816,,"Nucleosides, nucleotides, and analogues  "
CJ1524,fasciculol c,C30H52O6,,,,HMDB0035853,,
CJ1525,ferulic acid 4-o-sulfate,C10H10O7S,,,,HMDB0029200,,
CJ1526,flavidulol c,C34H42O4,,,,HMDB0039150,,
CJ1527,floribundoside,C21H22O10,,,,HMDB0033739,,
CJ1528,flumequine,C14H12FNO3,,,,HMDB0041895,,Quinoline carboxylic acids  
CJ1529,flurandrenolide,C24H33FO6,,,,HMDB0014984,,Steroids and steroid derivatives  
CJ1530,flavin mononucleotide,C17H21N4O9P,,,,HMDB0001520,,
CJ1531,foeniculoside viii,C16H28O8,,,,HMDB0033009,,
CJ1532,folinic acid,C20H23N7O7,,,,HMDB0001562,,
CJ1533,fructosyl-glycine isomer,C8H15NO7,,,,,,
CJ1534,4-fumarylacetoacetic acid,C8H8O6,,,,HMDB0001268,,
CJ1535,furandicarboxylic acid isomer,C6H4O5,,,,,,
